Test,API,Multithreaded,TestName,MinFrameTime,MaxFrameTime,AvgFrameTime,MaxFPS,MinFPS,AvgFPS
1,GL,No,"[GL] SimpleBallsSceneTest",0.143379,0.175696,0.16555,6.97452,5.69164,6.04048
1,GL,Yes,"[GL] MultithreadedBallsSceneTest",0.0557898,0.0887715,0.0679922,17.9244,11.2649,14.7076
1,VK,No,"[VK] SimpleBallsSceneTest",0.124031,0.12486,0.124467,8.06252,8.00895,8.03428
1,VK,Yes,"[VK] MultithreadedBallsSceneTest",0.0146825,0.0337186,0.0194057,68.1083,29.6572,51.5311
2,GL,No,"[GL] TerrainSceneTest",0.0166412,0.0224974,0.0178992,60.0919,44.4495,55.8686
2,GL,Yes,"[GL] MultithreadedTerrainSceneTest",0.0168808,0.0227395,0.018607,59.2388,43.9763,53.7432
2,VK,No,"[VK] TerrainSceneTest",0.0190929,0.0273419,0.0200939,52.3755,36.5739,49.7664
2,VK,Yes,"[VK] MultithreadedTerrainSceneTest",0.00970876,0.0335589,0.0212785,103,29.7984,46.9957
3,GL,No,"[GL] ShadowMappingSceneTest",0.00538566,0.00947339,0.00574551,185.678,105.559,174.049
3,GL,Yes,"[GL] MultithreadedShadowMappingSceneTest",0.00543776,0.00957257,0.00591905,183.899,104.465,168.946
3,VK,No,"[VK] ShadowMappingSceneTest",0.00403766,0.00532804,0.00417055,247.668,187.686,239.777
3,VK,Yes,"[VK] MultithreadedShadowMappingSceneTest",0.00117375,0.00549175,0.00249032,851.97,182.091,401.555
4,GL,No,"[GL] InitializationTest",0.124439,0.124439,0.12444,8.03609,8.03609,8.036
4,GL,Yes,"[GL] MultithreadedInitializationTest",0.12795,0.12795,0.127951,7.81557,7.81557,7.81551
4,VK,No,"[VK] InitializationTest",0.00231188,0.00231188,0.00231328,432.548,432.548,432.287
4,VK,Yes,"[VK] MultithreadedInitializationTest",0.00371576,0.00371576,0.00371723,269.124,269.124,269.018
